ID,"Scientific Name","Common Name","Native Status",County
3674,"Veronica persica Poiret","Bird's-eye Speedwell",I,Fauquier
3677,"Veronica serpyllifolia L. var. serpyllifolia","Thyme-leaf Speedwell",I,Fauquier
3678,"Veronicastrum virginicum (L.) Farwell",Culver's-root,N,Fauquier
2503,"Viburnum acerifolium L.","Maple-leaf Viburnum, Dockmackie",N,Fauquier
2505,"Viburnum dentatum complex",Arrow-wood,N,Fauquier
4711,"Viburnum dentatum L.","Southern Arrow-wood",N,Fauquier
2509,"Viburnum nudum L.","Southern Wild Raisin, Possum-haw",N,Fauquier
2511,"Viburnum prunifolium L.","Black Haw",N,Fauquier
2513,"Viburnum recognitum Fernald","Smooth Arrow-wood",N,Fauquier
3680,"Vicia caroliniana Walt.","Wood Vetch, Carolina Vetch",N,Fauquier
3681,"Vicia cracca L.","Tufted Vetch, Cow Vetch",I,Fauquier
3682,"Vicia grandiflora Scop.","Large Yellow Vetch, Showy Vetch",I,Fauquier
623,"Vicia sativa L.","Narrow-leaf Vetch, Common Vetch",I,Fauquier
3687,"Vicia tetrasperma (L.) Schreb.","Slender Vetch, Lentil Vetch",I,Fauquier
3688,"Vicia villosa Roth ssp. varia (Host) Corbiere","Smooth Vetch",I,Fauquier
3689,"Vicia villosa Roth ssp. villosa","Hairy Vetch, Winter Vetch",I,Fauquier
483,"Vinca major L.","Greater Periwinkle",I,Fauquier
1901,"Vinca minor L.","Periwinkle, Common Periwinkle",I,Fauquier
3692,"Viola affinis Le Conte","LeConte's Violet, Sand Violet",N,Fauquier
696,"Viola blanda Willd.","Sweet White Violet",N,Fauquier
3699,"Viola cucullata Ait.","Marsh Blue Violet",N,Fauquier
3714,"Viola eriocarpa Schwein.","Smooth Yellow Violet",N,Fauquier
3701,"Viola fimbriatula J.E. Smith","Northern Downy Violet",N,Fauquier
3696,"Viola incognita Brainerd","Large-leaved White Violet",N,Fauquier
3709,"Viola palmata L. complex","Wood Violet",N,Fauquier
4704,"Viola palmata L. var. triloba (Schwein.) Gingins ex A. DC.","Northern Three-lobed Violet",N,Fauquier
3710,"Viola pedata L. ssp. pedata","Bird's-foot violet",N,Fauquier
3711,"Viola primulifolia L.","Primrose-leaved Violet",N,Fauquier
3712,"Viola pubescens / eriocarpa complex","Yellow Violet",N,Fauquier
3713,"Viola pubescens Aiton","Downy Yellow Violet",N,Fauquier
3694,"Viola rafinesquei Greene","Field Pansy, Wild Pansy",N,Fauquier
3717,"Viola sagittata Aiton","Arrow-leaved Violet",N,Fauquier
3719,"Viola sororia Willd.","Common Blue Violet",N,Fauquier
3720,"Viola striata Ait.","Striped Violet, Cream Violet",N,Fauquier
3914,"Viola subsinuata Greene","Lobed Violet, Lobed Blue Violet, Wavy-leaved Violet",N,Fauquier
3728,"Vitis aestivalis Michx.","Summer Grape, Silverleaf Grape",N,Fauquier
4673,"Vitis aestivalis Michx. var. bicolor Deam","Silverleaf Grape",N,Fauquier
3731,"Vitis cinerea (Engelm.) Engelm. ex Millardet var. baileyana (Munson) Comeaux","Possum Grape",N,Fauquier
3733,"Vitis labrusca L.","Fox Grape",N,Fauquier
3737,"Vitis vulpina L.","Winter Grape, Frost Grape, Chicken Grape",N,Fauquier
1746,"Vulpia myuros (L.) K.C. Gmel.","Rattail Fescue",I,Fauquier
1764,"Vulpia octoflora (Walt.) Rydb.","Six-weeks Fescue",N,Fauquier
3741,"Wisteria sinensis (Sims) Sweet","Chinese Wisteria",I,Fauquier
34,"Wolffia brasiliensis Weddell","Brazilian Watermeal, Pointed Watermeal",N,Fauquier
971,"Woodsia obtusa (Spreng.) Torr. ssp. obtusa","Blunt-lobed Woodsia, Blunt-lobed Cliff Fern",N,Fauquier
2363,"Xanthium strumarium L.","Common Cocklebur",N,Fauquier
1092,"Xyris torta J.M. Smith","Twisted Yellow-eyed Grass",N,Fauquier
2364,"Youngia japonica (L.) DC.","Oriental False Hawksbeard, Asiatic False Hawksbeard",I,Fauquier
3743,"Zanthoxylum americanum P. Mill.","Toothache Tree, Northern Prickly-ash, Common Prickly-ash",N,Fauquier
1749,"Zea mays L. ssp. mays","Corn, Maize",I,Fauquier
1963,"Zizia aptera (Gray) Fern.","Heart-leaf Golden-alexanders",N,Fauquier
1961,"Zizia aurea (L.) W.D.J. Koch","Golden-alexanders, Common Golden-alexanders",N,Fauquier
